id,town_ksh_code,province_name,town_name,town_type1,town_type2,town_type3,district_ksh_code,town_population,street_name,house_number,target,address,lon,lat
1,27872,13,Abony,3,2,3,124,14916,attila utca,27,0,"attila utca 27, Abony",20.014630015946295,47.19361998010129
2,27872,13,Abony,3,2,3,124,14916,bicskei út,4,1,"bicskei út 4, Abony",19.9949600361264,47.18952001407254
3,27872,13,Abony,3,2,3,124,14916,csiky gergely utca,20,1,"csiky gergely utca 20, Abony",20.010869978000812,47.18261001500423
4,27872,13,Abony,3,2,3,124,14916,dr. hirn márton utca,3,2,"dr. hirn márton utca 3, Abony",19.991859989236985,47.196849988399464
5,27872,13,Abony,3,2,3,124,14916,vasút út,41,1,"vasút út 41, Abony",20.007410012189013,47.181589979297286
6,4880,8,Ágfalva,4,3,6,91,2151,ágfalva liget,0,0,"ágfalva liget 0, Ágfalva",16.492452042452744,47.68860934256249
7,4880,8,Ágfalva,4,3,6,91,2151,baracsi lászló utca,47,0,"baracsi lászló utca 47, Ágfalva",16.51658002124941,47.690669981618726
9,4880,8,Ágfalva,4,3,6,91,2151,baracsi lászló utca,85,0,"baracsi lászló utca 85, Ágfalva",16.5137999954232,47.69171998262951
10,4880,8,Ágfalva,4,3,6,91,2151,dózsa utca,4,1,"dózsa utca 4, Ágfalva",16.512659972772298,47.68980999835293
11,4880,8,Ágfalva,4,3,6,91,2151,gyógy utca,22/A,0,"gyógy utca 22/A, Ágfalva",16.5080699587744,47.68606999315605
12,4880,8,Ágfalva,4,3,6,91,2151,határőr utca,30,0,"határőr utca 30, Ágfalva",16.50658996613072,47.68889000066039
14,4880,8,Ágfalva,4,3,6,91,2151,liget utca,35,1,"liget utca 35, Ágfalva",16.50552001619036,47.6842799958234
15,4880,8,Ágfalva,4,3,6,91,2151,magyar utca,2,0,"magyar utca 2, Ágfalva",16.50845996872917,47.68867999207632
16,4880,8,Ágfalva,4,3,6,91,2151,magyar utca,25,0,"magyar utca 25, Ágfalva",16.504619967427402,47.687199999432636
17,4880,8,Ágfalva,4,3,6,91,2151,patak utca,21,0,"patak utca 21, Ágfalva",16.507829984886484,47.68757999301309
20,6673,19,Ajka,3,2,3,183,29106,bajcsy-zsilinszky utca,99,2,"bajcsy-zsilinszky utca 99, Ajka",17.522210002654333,47.1005399930759
21,6673,19,Ajka,3,2,3,183,29106,béke utca,28,0,"béke utca 28, Ajka",17.57102000413977,47.10710000577714
22,6673,19,Ajka,3,2,3,183,29106,dobó katica utca,10,0,"dobó katica utca 10, Ajka",17.533790020986373,47.09705999451552
23,6673,19,Ajka,3,2,3,183,29106,ifjúság utca,1/A,0,"ifjúság utca 1/A, Ajka",17.54939000008133,47.107720015155024
24,6673,19,Ajka,3,2,3,183,29106,kiss jános utca,3,0,"kiss jános utca 3, Ajka",17.53193996731747,47.09259998383587
25,6673,19,Ajka,3,2,3,183,29106,kossuth utca,14,2,"kossuth utca 14, Ajka",17.556949973831394,47.11028001602287
26,6673,19,Ajka,3,2,3,183,29106,kosztolányi utca,13,1,"kosztolányi utca 13, Ajka",17.550219976133775,47.10588999423473
27,6673,19,Ajka,3,2,3,183,29106,rákóczi ferenc utca,4,2,"rákóczi ferenc utca 4, Ajka",17.564540038613842,47.10431997995093
28,6673,19,Ajka,3,2,3,183,29106,rákóczi ferenc utca,4,2,"rákóczi ferenc utca 4, Ajka",17.564540038613842,47.10431997995093
29,6673,19,Ajka,3,2,3,183,29106,sport utca,12,1,"sport utca 12, Ajka",17.551699968777456,47.10900999005372
31,31653,13,Albertirsa,3,2,3,124,12016,madách utca,44,0,"madách utca 44, Albertirsa",19.5853400321609,47.254320004607706
32,31653,13,Albertirsa,3,2,3,124,12016,pesti út,126/8,2,"pesti út 126/8, Albertirsa",19.600189998559756,47.25422998296759
33,31653,13,Albertirsa,3,2,3,124,12016,rákóczi utca,37,2,"rákóczi utca 37, Albertirsa",19.60708998125378,47.24944999313422
34,31653,13,Albertirsa,3,2,3,124,12016,temesvári utca,54,0,"temesvári utca 54, Albertirsa",19.605489959756596,47.2371000131765
35,23199,13,Alsónémedi,4,3,5,129,5144,akácfa utca,36,0,"akácfa utca 36, Alsónémedi",19.156039990091728,47.30871998113986
36,23199,13,Alsónémedi,4,3,5,129,5144,árpád utca,1,0,"árpád utca 1, Alsónémedi",19.161540027317386,47.32525999067596
37,23199,13,Alsónémedi,4,3,5,129,5144,árpád utca,53,1,"árpád utca 53, Alsónémedi",19.154580030196627,47.324409981874936
41,23199,13,Alsónémedi,4,3,5,129,5144,haraszti út,126/II,0,"haraszti út 126/II, Alsónémedi",19.146554001958098,47.32584950709042
42,23199,13,Alsónémedi,4,3,5,129,5144,hős utca,2,1,"hős utca 2, Alsónémedi",19.169049961105486,47.31230001771465
43,23199,13,Alsónémedi,4,3,5,129,5144,kinizsi utca,5,1,"kinizsi utca 5, Alsónémedi",19.163020019961067,47.31593001043234
46,23199,13,Alsónémedi,4,3,5,129,5144,nefelejcs utca,5,0,"nefelejcs utca 5, Alsónémedi",19.151820037118995,47.32581001116233
47,23199,13,Alsónémedi,4,3,5,129,5144,öreg-tó utca,21,2,"öreg-tó utca 21, Alsónémedi",19.167910000000063,47.312310000000025
48,23199,13,Alsónémedi,4,3,5,129,5144,róna utca,10,2,"róna utca 10, Alsónémedi",19.148139962529825,47.32811000539368
49,21032,5,Alsózsolca,3,2,3,61,5766,ady endre út,5,2,"ady endre út 5, Alsózsolca",20.87112003977927,48.07533999349704
52,21032,5,Alsózsolca,3,2,3,61,5766,árpád út,16,2,"árpád út 16, Alsózsolca",20.87869996245891,48.07845998931603
53,21032,5,Alsózsolca,3,2,3,61,5766,bajcsy-zsilinszky út,27,0,"bajcsy-zsilinszky út 27, Alsózsolca",20.876689982077437,48.07671001557108
54,21032,5,Alsózsolca,3,2,3,61,5766,bartók béla út,15,0,"bartók béla út 15, Alsózsolca",20.88816002983981,48.06276001411618
55,21032,5,Alsózsolca,3,2,3,61,5766,bartók béla út,21,0,"bartók béla út 21, Alsózsolca",20.88774998713646,48.06245998389201
56,21032,5,Alsózsolca,3,2,3,61,5766,deák ferenc út,4,0,"deák ferenc út 4, Alsózsolca",20.87862997356737,48.079299981742764
57,21032,5,Alsózsolca,3,2,3,61,5766,deák ferenc út,6,1,"deák ferenc út 6, Alsózsolca",20.878910012952474,48.07922001838648
58,21032,5,Alsózsolca,3,2,3,61,5766,gagarin út,25,2,"gagarin út 25, Alsózsolca",20.87221002246821,48.077240003308845
59,21032,5,Alsózsolca,3,2,3,61,5766,gárdonyi út,9,2,"gárdonyi út 9, Alsózsolca",20.892360033882937,48.07461998801429
60,21032,5,Alsózsolca,3,2,3,61,5766,johanna út,25,2,"johanna út 25, Alsózsolca",20.8905699946408,48.06534000582312
61,21032,5,Alsózsolca,3,2,3,61,5766,józsef attila út,7,2,"józsef attila út 7, Alsózsolca",20.86984003934535,48.07454999912275
62,21032,5,Alsózsolca,3,2,3,61,5766,klapka györgy út,4,2,"klapka györgy út 4, Alsózsolca",20.88765996549634,48.064470006183
63,22327,19,Badacsonytomaj,3,2,3,189,2135,füge köz,7,1,"füge köz 7, Badacsonytomaj",17.510889990958788,46.795499989202
64,22327,19,Badacsonytomaj,3,2,3,189,2135,füredi út,61,1,"füredi út 61, Badacsonytomaj",17.539640002669586,46.80490000024665
65,22327,19,Badacsonytomaj,3,2,3,189,2135,hársfa utca,18,1,"hársfa utca 18, Badacsonytomaj",17.502240034519815,46.812209983734505
66,22327,19,Badacsonytomaj,3,2,3,189,2135,hősök tere,5,2,"hősök tere 5, Badacsonytomaj",17.515449997743332,46.803559985386016
67,22327,19,Badacsonytomaj,3,2,3,189,2135,hősök tere,6,1,"hősök tere 6, Badacsonytomaj",17.515089995001944,46.803409991228676
68,22327,19,Badacsonytomaj,3,2,3,189,2135,józsef attila utca,14,1,"józsef attila utca 14, Badacsonytomaj",17.512680030200954,46.81034999751037
71,22327,19,Badacsonytomaj,3,2,3,189,2135,káptalantóti út,46,0,"káptalantóti út 46, Badacsonytomaj",17.514279967879077,46.809479997870284
72,22327,19,Badacsonytomaj,3,2,3,189,2135,kert utca,22.febr,1,"kert utca 22.febr, Badacsonytomaj",17.5151299766801,46.80782000385588
73,22327,19,Badacsonytomaj,3,2,3,189,2135,kodály zoltán utca,37,1,"kodály zoltán utca 37, Badacsonytomaj",17.505270008698687,46.810519982506776
74,22327,19,Badacsonytomaj,3,2,3,189,2135,nyárfa utca,1,1,"nyárfa utca 1, Badacsonytomaj",17.5115100003367,46.81199000068568
75,22327,19,Badacsonytomaj,3,2,3,189,2135,petőfi utca,21,1,"petőfi utca 21, Badacsonytomaj",17.51160002197679,46.808230004649715
76,22327,19,Badacsonytomaj,3,2,3,189,2135,petőfi utca,75,2,"petőfi utca 75, Badacsonytomaj",17.507839984031307,46.81098999772732
77,20011,9,Bagamér,4,3,6,101,2476,árpád utca,4,2,"árpád utca 4, Bagamér",21.996390038168244,47.44762999352423
78,20011,9,Bagamér,4,3,6,101,2476,báthori utca,60,1,"báthori utca 60, Bagamér",21.98116003627942,47.45068000045171
79,20011,9,Bagamér,4,3,6,101,2476,bocskai utca,52,2,"bocskai utca 52, Bagamér",21.98875999170764,47.44260001342866
80,20011,9,Bagamér,4,3,6,101,2476,csák utca,15,1,"csák utca 15, Bagamér",22.004470025191296,47.45041999381522
81,20011,9,Bagamér,4,3,6,101,2476,csokonai utca,12,1,"csokonai utca 12, Bagamér",21.98452998045113,47.44744001768876
83,20011,9,Bagamér,4,3,6,101,2476,deák ferenc utca,16,1,"deák ferenc utca 16, Bagamér",21.990569979879325,47.45076000571751
84,20011,9,Bagamér,4,3,6,101,2476,hunyadi utca,42,2,"hunyadi utca 42, Bagamér",21.99393003340529,47.444089980537115
85,20011,9,Bagamér,4,3,6,101,2476,kinizsi utca,6,2,"kinizsi utca 6, Bagamér",21.98268998506603,47.44554998234173
86,20011,9,Bagamér,4,3,6,101,2476,kinizsi utca,49,1,"kinizsi utca 49, Bagamér",21.977760001075353,47.44665999777925
87,20011,9,Bagamér,4,3,6,101,2476,kinizsi utca,50,0,"kinizsi utca 50, Bagamér",21.97775002661055,47.44639001667798
88,20011,9,Bagamér,4,3,6,101,2476,kinizsi utca,51,0,"kinizsi utca 51, Bagamér",21.977509968903632,47.4467099958317
90,20011,9,Bagamér,4,3,6,101,2476,nagybercsényi utca,31,2,"nagybercsényi utca 31, Bagamér",21.99206003080684,47.445429995397774
91,3522,3,Baja,3,2,3,35,36267,csendes utca,17,0,"csendes utca 17, Baja",18.96318002555668,46.17712001138233
92,3522,3,Baja,3,2,3,35,36267,duna utca,12,2,"duna utca 12, Baja",18.93759480629968,46.18498457555
93,3522,3,Baja,3,2,3,35,36267,hentes utca,4,1,"hentes utca 4, Baja",18.951979958895578,46.18590998751387
94,3522,3,Baja,3,2,3,35,36267,ii.körzet tanya,163/A,2,"ii.körzet tanya 163/A, Baja",18.98161396572986,46.196621366153934
95,3522,3,Baja,3,2,3,35,36267,józsef attila utca,21,0,"józsef attila utca 21, Baja",18.958910032622015,46.18291999501312
96,3522,3,Baja,3,2,3,35,36267,keszeg utca,18,1,"keszeg utca 18, Baja",18.971861343293472,46.1818366311459
97,3522,3,Baja,3,2,3,35,36267,kölcsey ferenc utca,112,0,"kölcsey ferenc utca 112, Baja",18.935099979366697,46.1841499973946
98,3522,3,Baja,3,2,3,35,36267,köztársaság tér,7,2,"köztársaság tér 7, Baja",18.955930014586045,46.18475001593342
101,3522,3,Baja,3,2,3,35,36267,táncsics mihály utca,38,1,"táncsics mihály utca 38, Baja",18.94973000462619,46.18324999054113
