id,town_ksh_code,province_name,town_name,town_type1,town_type2,town_type3,district_ksh_code,town_population,street_name,house_number,target,address
1,27872,13,Abony,3,2,3,124,14916,attila utca,27,0,"attila utca 27, Abony"
2,27872,13,Abony,3,2,3,124,14916,bicskei út,4,1,"bicskei út 4, Abony"
3,27872,13,Abony,3,2,3,124,14916,csiky gergely utca,20,1,"csiky gergely utca 20, Abony"
4,27872,13,Abony,3,2,3,124,14916,dr. hirn márton utca,3,2,"dr. hirn márton utca 3, Abony"
5,27872,13,Abony,3,2,3,124,14916,vasút út,41,1,"vasút út 41, Abony"
6,4880,8,Ágfalva,4,3,6,91,2151,ágfalva liget,0,0,"ágfalva liget 0, Ágfalva"
7,4880,8,Ágfalva,4,3,6,91,2151,baracsi lászló utca,47,0,"baracsi lászló utca 47, Ágfalva"
9,4880,8,Ágfalva,4,3,6,91,2151,baracsi lászló utca,85,0,"baracsi lászló utca 85, Ágfalva"
10,4880,8,Ágfalva,4,3,6,91,2151,dózsa utca,4,1,"dózsa utca 4, Ágfalva"
11,4880,8,Ágfalva,4,3,6,91,2151,gyógy utca,22/A,0,"gyógy utca 22/A, Ágfalva"
12,4880,8,Ágfalva,4,3,6,91,2151,határőr utca,30,0,"határőr utca 30, Ágfalva"
14,4880,8,Ágfalva,4,3,6,91,2151,liget utca,35,1,"liget utca 35, Ágfalva"
15,4880,8,Ágfalva,4,3,6,91,2151,magyar utca,2,0,"magyar utca 2, Ágfalva"
16,4880,8,Ágfalva,4,3,6,91,2151,magyar utca,25,0,"magyar utca 25, Ágfalva"
17,4880,8,Ágfalva,4,3,6,91,2151,patak utca,21,0,"patak utca 21, Ágfalva"
20,6673,19,Ajka,3,2,3,183,29106,bajcsy-zsilinszky utca,99,2,"bajcsy-zsilinszky utca 99, Ajka"
21,6673,19,Ajka,3,2,3,183,29106,béke utca,28,0,"béke utca 28, Ajka"
22,6673,19,Ajka,3,2,3,183,29106,dobó katica utca,10,0,"dobó katica utca 10, Ajka"
23,6673,19,Ajka,3,2,3,183,29106,ifjúság utca,1/A,0,"ifjúság utca 1/A, Ajka"
