id,town_ksh_code,province_name,town_name,town_type1,town_type2,town_type3,district_ksh_code,town_population,street_name,house_number,target,address,geocode,lon,lat,cafe,fuel,restaurant,pub,bank,bus_station,veterinary,pharmacy,fountain,post_office,fast_food,parking,taxi,food_court,dentist,vending_machine,social_facility,parcel_locker,townhall,library,community_centre,bicycle_repair_station,police,bicycle_rental,atm,charging_station,place_of_worship,toilets,clock,ice_cream,chair,doctors,kindergarten,childcare,rental,bum,parking_entrance,nightclub,marketplace,bar,car_wash,school,biergarten,language_school,bbq,smoking_area,arts_centre,cinema,bureau_de_change,courthouse,clinic,shelter,printer,parking_space,studio,motorcycle_parking,hunting_stand,escooter_rental,coworking_space,hospital,vehicle_ramp,driving_school,theatre,waste_disposal,air_filling,mist_spraying_cooler,art_school,nursing_home,car_rental,compressed_air,dojo,public_hall,table,internet_cafe,playhouse,dog_toilet,ferry_terminal,workshop,music_school,university,public_bookcase,college,dancing_school,casino,ticket_validator,trolley_bay,money_transfer,dressing_room,water_point,gambling,lounger,weighbridge,prison,funeral_hall,fire_station,migrant_detention_centre,food,vacuum_cleaner,boat_rental,animal_boarding,vehicle_inspection,shower,social_centre,monastery,ski_rental,yes,office,grit_bin,locker,music_venue,ritual_bath,hookah_lounge,training,dormitory,sanitary_dump_station,device_charging_station,left_luggage,car_sharing,luggage_locker,karaoke_box,stripclub,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,streets_per_node_counts,streets_per_node_proportions,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion,clean_intersection_count,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,clustering_coefficient,pagerank
1,27872,13,Abony,3,2,3,124,14916,attila utca,27,0,"attila utca 27, Abony","{'x': 20.014630015946, 'y': 47.193619980101}",20.014630015946,47.193619980101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,2.6666666666666665,402.46000000000004,100.61500000000001,3.0,"{0: 0, 1: 0, 2: 0, 3: 3}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 1.0}",3.0,201.23000000000002,2.0,100.61500000000001,1.000027282476677,0.0,1.0,1.0,0.6666666666666666,0.0,0.5000000644180599,0.0,0.25675708783778944
2,27872,13,Abony,3,2,3,124,14916,bicskei út,4,1,"bicskei út 4, Abony","{'x': 19.994960036126, 'y': 47.189520014073}",19.994960036126,47.189520014073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,14.0,4.0,1251.7240000000002,89.40885714285716,3.0,"{0: 0, 1: 0, 2: 0, 3: 7}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 1.0}",7.0,625.8620000000001,7.0,89.40885714285716,1.0093873097060149,0.0,1.0,0.6666666666666666,0.46153846153846156,0.06666666666666667,0.35878110250487755,0.0,0.13976965332086172
3,27872,13,Abony,3,2,3,124,14916,csiky gergely utca,20,1,"csiky gergely utca 20, Abony","{'x': 20.010869978001, 'y': 47.182610015004}",20.010869978001,47.182610015004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,20.0,3.6363636363636362,1123.192,56.1596,2.5454545454545454,"{0: 0, 1: 3, 2: 0, 3: 7, 4: 1}","{0: 0.0, 1: 0.2727272727272727, 2: 0.0, 3: 0.6363636363636364, 4: 0.09090909090909091}",8.0,561.596,10.0,56.1596,1.0020534039607971,0.0,1.0,0.2,0.2777777777777778,0.0,0.23637004058269506,0.0,0.05338910904490981
4,27872,13,Abony,3,2,3,124,14916,dr. hirn márton utca,3,2,"dr. hirn márton utca 3, Abony","{'x': 19.991859989237, 'y': 47.196849988399}",19.991859989237,47.196849988399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,10.0,3.3333333333333335,1526.778,152.6778,2.6666666666666665,"{0: 0, 1: 1, 2: 0, 3: 5}","{0: 0.0, 1: 0.16666666666666666, 2: 0.0, 3: 0.8333333333333334}",5.0,763.3890000000001,5.0,152.67780000000002,1.0002911063497186,0.0,1.0,0.8,0.5555555555555556,0.4,0.4440374593289462,0.0,0.19753661834397662
5,27872,13,Abony,3,2,3,124,14916,vasút út,41,1,"vasút út 41, Abony","{'x': 20.007410012189, 'y': 47.181589979297}",20.007410012189,47.181589979297,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,14.0,3.5,904.974,64.641,2.625,"{0: 0, 1: 2, 2: 0, 3: 5, 4: 1}","{0: 0.0, 1: 0.25, 2: 0.0, 3: 0.625, 4: 0.125}",6.0,452.48699999999997,7.0,64.64099999999999,1.0041943046690498,0.0,1.0,0.2857142857142857,0.3333333333333333,0.0,0.1682805055991448,0.0,0.07911716015072033
6,4880,8,Ágfalva,4,3,6,91,2151,ágfalva liget,0,0,"ágfalva liget 0, Ágfalva","{'x': 16.492452042453, 'y': 47.688609342562}",16.492452042453,47.688609342562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4880,8,Ágfalva,4,3,6,91,2151,baracsi lászló utca,47,0,"baracsi lászló utca 47, Ágfalva","{'x': 16.516580021249, 'y': 47.690669981619}",16.516580021249,47.690669981619,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,16.0,4.571428571428571,432.15199999999993,27.009499999999996,3.142857142857143,"{0: 0, 1: 0, 2: 0, 3: 6, 4: 1}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.8571428571428571, 4: 0.14285714285714285}",7.0,216.076,8.0,27.0095,1.0116282459904868,0.0,1.0,0.6666666666666666,0.5,0.0,0.3777187518513969,1.0,0.12132212469268623
9,4880,8,Ágfalva,4,3,6,91,2151,baracsi lászló utca,85,0,"baracsi lászló utca 85, Ágfalva","{'x': 16.513799995423, 'y': 47.69171998263}",16.513799995423,47.69171998263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,64.0,5.12,2141.7540000000004,33.464906250000006,3.2,"{0: 0, 1: 0, 2: 0, 3: 20, 4: 5}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.8, 4: 0.2}",25.0,1070.877,32.0,33.46490625,1.038781632158744,0.0,1.0,0.16666666666666666,0.20168067226890757,0.005434782608695652,0.06259228711604259,0.0,0.033735752602502105
10,4880,8,Ágfalva,4,3,6,91,2151,dózsa utca,4,1,"dózsa utca 4, Ágfalva","{'x': 16.512659972772, 'y': 47.689809998353}",16.512659972772,47.689809998353,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,84.0,5.25,3525.728,41.97295238095238,3.09375,"{0: 0, 1: 0, 2: 0, 3: 29, 4: 3}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.90625, 4: 0.09375}",32.0,1762.8640000000003,42.0,41.972952380952385,1.0275419105492407,0.0,1.0,0.1935483870967742,0.2897196261682243,0.21960573476702508,0.2261548259027857,0.0,0.0333716196336207
11,4880,8,Ágfalva,4,3,6,91,2151,gyógy utca,22/A,0,"gyógy utca 22/A, Ágfalva","{'x': 16.508069958774, 'y': 47.686069993156}",16.508069958774,47.686069993156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,30.0,4.285714285714286,2721.8780000000006,90.72926666666669,2.7857142857142856,"{0: 0, 1: 2, 2: 0, 3: 11, 4: 1}","{0: 0.0, 1: 0.14285714285714285, 2: 0.0, 3: 0.7857142857142857, 4: 0.07142857142857142}",12.0,1360.9389999999999,15.0,90.72926666666666,1.0300664760041878,0.0,1.0,0.46153846153846156,0.41935483870967744,0.3846153846153846,0.44393720570076683,0.0,0.09236703543613951
12,4880,8,Ágfalva,4,3,6,91,2151,határőr utca,30,0,"határőr utca 30, Ágfalva","{'x': 16.506589966131, 'y': 47.68889000066}",16.506589966131,47.68889000066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,22.0,3.6666666666666665,2206.8259999999996,100.3102727272727,3.0,"{0: 0, 1: 0, 2: 0, 3: 12}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 1.0}",12.0,1103.413,11.0,100.31027272727273,1.0091794835285126,0.0,1.0,0.5454545454545454,0.3235294117647059,0.4727272727272727,0.49984938335701234,0.0,0.13033275942407696
14,4880,8,Ágfalva,4,3,6,91,2151,liget utca,35,1,"liget utca 35, Ágfalva","{'x': 16.50552001619, 'y': 47.684279995823}",16.50552001619,47.684279995823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,28.0,4.0,2633.8660000000004,94.06664285714287,2.9285714285714284,"{0: 0, 1: 1, 2: 0, 3: 12, 4: 1}","{0: 0.0, 1: 0.07142857142857142, 2: 0.0, 3: 0.8571428571428571, 4: 0.07142857142857142}",13.0,1316.933,14.0,94.06664285714285,1.0078482055255247,0.0,1.0,0.46153846153846156,0.38235294117647056,0.4615384615384615,0.4542199193728672,0.0,0.0969412187715289
15,4880,8,Ágfalva,4,3,6,91,2151,magyar utca,2,0,"magyar utca 2, Ágfalva","{'x': 16.508459968729, 'y': 47.688679992076}",16.508459968729,47.688679992076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,30.0,4.285714285714286,3492.7,116.42333333333333,3.0714285714285716,"{0: 0, 1: 0, 2: 0, 3: 13, 4: 1}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.9285714285714286, 4: 0.07142857142857142}",14.0,1746.3500000000001,15.0,116.42333333333335,1.0271189509342613,0.0,1.0,0.46153846153846156,0.40625,0.2564102564102564,0.4110411895196698,0.0,0.09123820711946848
16,4880,8,Ágfalva,4,3,6,91,2151,magyar utca,25,0,"magyar utca 25, Ágfalva","{'x': 16.504619967427, 'y': 47.687199999433}",16.504619967427,47.687199999433,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,42.0,4.421052631578948,3723.3159999999993,88.65038095238094,2.9473684210526314,"{0: 0, 1: 1, 2: 0, 3: 17, 4: 1}","{0: 0.0, 1: 0.05263157894736842, 2: 0.0, 3: 0.8947368421052632, 4: 0.05263157894736842}",18.0,1861.6580000000001,21.0,88.65038095238096,1.0437312105748806,0.0,1.0,0.4444444444444444,0.3829787234042553,0.5392156862745098,0.3774993821576132,0.0,0.08835493324394504
17,4880,8,Ágfalva,4,3,6,91,2151,patak utca,21,0,"patak utca 21, Ágfalva","{'x': 16.507829984886, 'y': 47.687579993013}",16.507829984886,47.687579993013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,32.0,4.0,2715.4400000000005,84.85750000000002,2.875,"{0: 0, 1: 1, 2: 0, 3: 15}","{0: 0.0, 1: 0.0625, 2: 0.0, 3: 0.9375}",15.0,1357.7199999999998,16.0,84.85749999999999,1.0260044545155222,0.0,1.0,0.4,0.32608695652173914,0.6476190476190476,0.29587395157816915,0.0,0.08811579440151923
20,6673,19,Ajka,3,2,3,183,29106,bajcsy-zsilinszky utca,99,2,"bajcsy-zsilinszky utca 99, Ajka","{'x': 17.522210002654, 'y': 47.100539993076}",17.522210002654,47.100539993076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,14.0,3.5,1375.9739999999997,98.28385714285712,2.75,"{0: 0, 1: 1, 2: 0, 3: 7}","{0: 0.0, 1: 0.125, 2: 0.0, 3: 0.875}",7.0,687.9870000000001,7.0,98.28385714285716,1.0000024959933256,0.0,1.0,0.5714285714285714,0.5,0.5714285714285714,0.46350744266380267,0.0,0.13445039292486208
21,6673,19,Ajka,3,2,3,183,29106,béke utca,28,0,"béke utca 28, Ajka","{'x': 17.57102000414, 'y': 47.107100005777}",17.57102000414,47.107100005777,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,88.0,5.333333333333333,4263.534000000001,48.449250000000006,2.878787878787879,"{0: 0, 1: 3, 2: 0, 3: 28, 4: 2}","{0: 0.0, 1: 0.09090909090909091, 2: 0.0, 3: 0.8484848484848485, 4: 0.06060606060606061}",30.0,2131.7669999999994,44.0,48.449249999999985,1.0598106476198197,0.0,1.0,0.1875,0.2302158273381295,0.09670698924731186,0.1737067903199554,0.0,0.03236666990805233
22,6673,19,Ajka,3,2,3,183,29106,dobó katica utca,10,0,"dobó katica utca 10, Ajka","{'x': 17.533790020986, 'y': 47.097059994516}",17.533790020986,47.097059994516,2.0,,,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,22.0,4.0,2171.9660000000003,98.72572727272728,2.8181818181818183,"{0: 0, 1: 1, 2: 0, 3: 10}","{0: 0.0, 1: 0.09090909090909091, 2: 0.0, 3: 0.9090909090909091}",10.0,1085.983,11.0,98.72572727272727,1.0423112238728653,0.0,1.0,0.6000000000000001,0.5,0.5,0.4545909614691826,0.0,0.1271508129276396
