ecimk,KSHkod,telkod,megye,telnev,teltip,teltip3,teltip8,jaraskodKSH,nepesseg,UTCA,Hazszam,eredm
1,27872,27872,13,Abony,3,2,3,124,14916,ATTILA UTCA,27,0
2,27872,27872,13,Abony,3,2,3,124,14916,BICSKEI ÚT,4,1
3,27872,27872,13,Abony,3,2,3,124,14916,CSIKY GERGELY UTCA,20,1
4,27872,27872,13,Abony,3,2,3,124,14916,DR. HIRN MÁRTON UTCA,3,2
5,27872,27872,13,Abony,3,2,3,124,14916,VASÚT ÚT,41,1
6,4880,4880,8,Ágfalva,4,3,6,91,2151,ÁGFALVA LIGET,0,0
7,4880,4880,8,Ágfalva,4,3,6,91,2151,BARACSI LÁSZLÓ UTCA,47,0
9,4880,4880,8,Ágfalva,4,3,6,91,2151,BARACSI LÁSZLÓ UTCA,85,0
10,4880,4880,8,Ágfalva,4,3,6,91,2151,DÓZSA UTCA,4,1
11,4880,4880,8,Ágfalva,4,3,6,91,2151,GYÓGY UTCA,22/A,0
12,4880,4880,8,Ágfalva,4,3,6,91,2151,HATÁRŐR UTCA,30,0
14,4880,4880,8,Ágfalva,4,3,6,91,2151,LIGET UTCA,35,1
15,4880,4880,8,Ágfalva,4,3,6,91,2151,MAGYAR UTCA,2,0
16,4880,4880,8,Ágfalva,4,3,6,91,2151,MAGYAR UTCA,25,0
17,4880,4880,8,Ágfalva,4,3,6,91,2151,PATAK UTCA,21,0
20,6673,6673,19,Ajka,3,2,3,183,29106,BAJCSY-ZSILINSZKY UTCA,99,2
21,6673,6673,19,Ajka,3,2,3,183,29106,BÉKE UTCA,28,0
22,6673,6673,19,Ajka,3,2,3,183,29106,DOBÓ KATICA UTCA,10,0
23,6673,6673,19,Ajka,3,2,3,183,29106,IFJÚSÁG UTCA,1/A,0
24,6673,6673,19,Ajka,3,2,3,183,29106,KISS JÁNOS UTCA,3,0
25,6673,6673,19,Ajka,3,2,3,183,29106,KOSSUTH UTCA,14,2
26,6673,6673,19,Ajka,3,2,3,183,29106,KOSZTOLÁNYI UTCA,13,1
27,6673,6673,19,Ajka,3,2,3,183,29106,RÁKÓCZI FERENC UTCA,4,2
28,6673,6673,19,Ajka,3,2,3,183,29106,RÁKÓCZI FERENC UTCA,4,2
29,6673,6673,19,Ajka,3,2,3,183,29106,SPORT UTCA,12,1
31,31653,31653,13,Albertirsa,3,2,3,124,12016,MADÁCH UTCA,44,0
32,31653,31653,13,Albertirsa,3,2,3,124,12016,PESTI ÚT,126/8,2
33,31653,31653,13,Albertirsa,3,2,3,124,12016,RÁKÓCZI UTCA,37,2
34,31653,31653,13,Albertirsa,3,2,3,124,12016,TEMESVÁRI UTCA,54,0
35,23199,23199,13,Alsónémedi,4,3,5,129,5144,AKÁCFA UTCA,36,0
36,23199,23199,13,Alsónémedi,4,3,5,129,5144,ÁRPÁD UTCA,1,0
37,23199,23199,13,Alsónémedi,4,3,5,129,5144,ÁRPÁD UTCA,53,1
41,23199,23199,13,Alsónémedi,4,3,5,129,5144,HARASZTI ÚT,126/II,0
42,23199,23199,13,Alsónémedi,4,3,5,129,5144,HŐS UTCA,2,1
43,23199,23199,13,Alsónémedi,4,3,5,129,5144,KINIZSI UTCA,5,1
46,23199,23199,13,Alsónémedi,4,3,5,129,5144,NEFELEJCS UTCA,5,0
47,23199,23199,13,Alsónémedi,4,3,5,129,5144,ÖREG-TÓ UTCA,21,2
48,23199,23199,13,Alsónémedi,4,3,5,129,5144,RÓNA UTCA,10,2
49,21032,21032,5,Alsózsolca,3,2,3,61,5766,ADY ENDRE ÚT,5,2
52,21032,21032,5,Alsózsolca,3,2,3,61,5766,ÁRPÁD ÚT,16,2
53,21032,21032,5,Alsózsolca,3,2,3,61,5766,BAJCSY-ZSILINSZKY ÚT,27,0
54,21032,21032,5,Alsózsolca,3,2,3,61,5766,BARTÓK BÉLA ÚT,15,0
55,21032,21032,5,Alsózsolca,3,2,3,61,5766,BARTÓK BÉLA ÚT,21,0
56,21032,21032,5,Alsózsolca,3,2,3,61,5766,DEÁK FERENC ÚT,4,0
57,21032,21032,5,Alsózsolca,3,2,3,61,5766,DEÁK FERENC ÚT,6,1
58,21032,21032,5,Alsózsolca,3,2,3,61,5766,GAGARIN ÚT,25,2
59,21032,21032,5,Alsózsolca,3,2,3,61,5766,GÁRDONYI ÚT,9,2
60,21032,21032,5,Alsózsolca,3,2,3,61,5766,JOHANNA ÚT,25,2
61,21032,21032,5,Alsózsolca,3,2,3,61,5766,JÓZSEF ATTILA ÚT,7,2
62,21032,21032,5,Alsózsolca,3,2,3,61,5766,KLAPKA GYÖRGY ÚT,4,2
63,22327,22327,19,Badacsonytomaj,3,2,3,189,2135,FÜGE KÖZ,7,1
64,22327,22327,19,Badacsonytomaj,3,2,3,189,2135,FÜREDI ÚT,61,1
65,22327,22327,19,Badacsonytomaj,3,2,3,189,2135,HÁRSFA UTCA,18,1
66,22327,22327,19,Badacsonytomaj,3,2,3,189,2135,HŐSÖK TERE,5,2
67,22327,22327,19,Badacsonytomaj,3,2,3,189,2135,HŐSÖK TERE,6,1
68,22327,22327,19,Badacsonytomaj,3,2,3,189,2135,JÓZSEF ATTILA UTCA,14,1
71,22327,22327,19,Badacsonytomaj,3,2,3,189,2135,KÁPTALANTÓTI ÚT,46,0
72,22327,22327,19,Badacsonytomaj,3,2,3,189,2135,KERT UTCA,22.febr,1
73,22327,22327,19,Badacsonytomaj,3,2,3,189,2135,KODÁLY ZOLTÁN UTCA,37,1
74,22327,22327,19,Badacsonytomaj,3,2,3,189,2135,NYÁRFA UTCA,1,1
75,22327,22327,19,Badacsonytomaj,3,2,3,189,2135,PETŐFI UTCA,21,1
76,22327,22327,19,Badacsonytomaj,3,2,3,189,2135,PETŐFI UTCA,75,2
77,20011,20011,9,Bagamér,4,3,6,101,2476,ÁRPÁD UTCA,4,2
78,20011,20011,9,Bagamér,4,3,6,101,2476,BÁTHORI UTCA,60,1
79,20011,20011,9,Bagamér,4,3,6,101,2476,BOCSKAI UTCA,52,2
80,20011,20011,9,Bagamér,4,3,6,101,2476,CSÁK UTCA,15,1
81,20011,20011,9,Bagamér,4,3,6,101,2476,CSOKONAI UTCA,12,1
83,20011,20011,9,Bagamér,4,3,6,101,2476,DEÁK FERENC UTCA,16,1
84,20011,20011,9,Bagamér,4,3,6,101,2476,HUNYADI UTCA,42,2
85,20011,20011,9,Bagamér,4,3,6,101,2476,KINIZSI UTCA,6,2
86,20011,20011,9,Bagamér,4,3,6,101,2476,KINIZSI UTCA,49,1
87,20011,20011,9,Bagamér,4,3,6,101,2476,KINIZSI UTCA,50,0
88,20011,20011,9,Bagamér,4,3,6,101,2476,KINIZSI UTCA,51,0
90,20011,20011,9,Bagamér,4,3,6,101,2476,NAGYBERCSÉNYI UTCA,31,2
91,3522,3522,3,Baja,3,2,3,35,36267,CSENDES UTCA,17,0
92,3522,3522,3,Baja,3,2,3,35,36267,DUNA UTCA,12,2
93,3522,3522,3,Baja,3,2,3,35,36267,HENTES UTCA,4,1
94,3522,3522,3,Baja,3,2,3,35,36267,II.KÖRZET TANYA,163/A,2
95,3522,3522,3,Baja,3,2,3,35,36267,JÓZSEF ATTILA UTCA,21,0
96,3522,3522,3,Baja,3,2,3,35,36267,KESZEG UTCA,18,1
97,3522,3522,3,Baja,3,2,3,35,36267,KÖLCSEY FERENC UTCA,112,0
98,3522,3522,3,Baja,3,2,3,35,36267,KÖZTÁRSASÁG TÉR,7,2
101,3522,3522,3,Baja,3,2,3,35,36267,TÁNCSICS MIHÁLY UTCA,38,1
102,3522,3522,3,Baja,3,2,3,35,36267,V.KÖRZET TANYA,000050/7,2
103,5944,5944,8,Bakonyszentlászló,4,3,7,90,1825,ADY ENDRE UTCA,01.okt,0
104,5944,5944,8,Bakonyszentlászló,4,3,7,90,1825,ADY ENDRE UTCA,22,1
105,5944,5944,8,Bakonyszentlászló,4,3,7,90,1825,BÉKE UTCA,9/B,1
106,5944,5944,8,Bakonyszentlászló,4,3,7,90,1825,BÉKE UTCA,18,0
107,5944,5944,8,Bakonyszentlászló,4,3,7,90,1825,DÓZSA GYÖRGY UTCA,31,0
108,5944,5944,8,Bakonyszentlászló,4,3,7,90,1825,FENYVES UTCA,18,0
109,5944,5944,8,Bakonyszentlászló,4,3,7,90,1825,FENYVES UTCA,39,1
110,5944,5944,8,Bakonyszentlászló,4,3,7,90,1825,JÓKAI UTCA,18,1
111,5944,5944,8,Bakonyszentlászló,4,3,7,90,1825,KOSSUTH UTCA,02.febr,0
112,5944,5944,8,Bakonyszentlászló,4,3,7,90,1825,LÁSZLÓ KIRÁLY UTCA,86,1
113,5944,5944,8,Bakonyszentlászló,4,3,7,90,1825,LÁSZLÓ KIRÁLY UTCA,109,0
116,5944,5944,8,Bakonyszentlászló,4,3,7,90,1825,RÓZSA UTCA,30,0
118,13657,13657,12,Balassagyarmat,3,2,3,116,16397,FELSŐMALOM UTCA,24,2
119,13657,13657,12,Balassagyarmat,3,2,3,116,16397,RÁKÓCZI FEJEDELEM ÚT,35,2
120,13657,13657,12,Balassagyarmat,3,2,3,116,16397,SZONDI UTCA,6,1
122,13657,13657,12,Balassagyarmat,3,2,3,116,16397,ZICHY UTCA,13,1
123,21175,21175,19,Balatonfüred,3,2,3,185,12979,BALASSI BÁLINT UTCA,35,1
124,21175,21175,19,Balatonfüred,3,2,3,185,12979,KÖZTÁRSASÁG UTCA,10,2
127,21175,21175,19,Balatonfüred,3,2,3,185,12979,PÁLÓCZI HORVÁTH ÁDÁM UTCA,30/A,1
128,33862,33862,14,Balatonlelle,3,2,3,142,5217,ARADI UTCA,14,0
129,33862,33862,14,Balatonlelle,3,2,3,142,5217,ARADI UTCA,29,2
130,33862,33862,14,Balatonlelle,3,2,3,142,5217,ARANY JÁNOS UTCA,47,2
133,33862,33862,14,Balatonlelle,3,2,3,142,5217,JÓKAI UTCA,12,0
134,33862,33862,14,Balatonlelle,3,2,3,142,5217,KOSSUTH LAJOS UTCA,8,1
135,33862,33862,14,Balatonlelle,3,2,3,142,5217,MÁJUS 1. UTCA,30,2
136,33862,33862,14,Balatonlelle,3,2,3,142,5217,MÁJUS 1. UTCA,35,0
137,33862,33862,14,Balatonlelle,3,2,3,142,5217,PETŐFI UTCA,48,1
138,33862,33862,14,Balatonlelle,3,2,3,142,5217,RÁKÓCZI ÚT,aug.54,1
140,33862,33862,14,Balatonlelle,3,2,3,142,5217,SZT.LÁSZLÓ UTCA,27,1
141,33862,33862,14,Balatonlelle,3,2,3,142,5217,TABÁN KÖZ,34,0
142,16601,16601,14,Balatonszabadi,4,3,6,146,2971,ADY ENDRE UTCA,8,0
143,16601,16601,14,Balatonszabadi,4,3,6,146,2971,ADY ENDRE UTCA,12,1
144,16601,16601,14,Balatonszabadi,4,3,6,146,2971,GAMÁSZA PUSZTA,3,0
145,16601,16601,14,Balatonszabadi,4,3,6,146,2971,KINIZSI PÁL UTCA,20,0
147,16601,16601,14,Balatonszabadi,4,3,6,146,2971,KOSSUTH LAJOS UTCA,103,0
148,16601,16601,14,Balatonszabadi,4,3,6,146,2971,KOSSUTH LAJOS UTCA,129,1
149,16601,16601,14,Balatonszabadi,4,3,6,146,2971,MÁTYÁS KIRÁLY UTCA,10,1
150,16601,16601,14,Balatonszabadi,4,3,6,146,2971,NEFELEJCS UTCA,9,0
151,16601,16601,14,Balatonszabadi,4,3,6,146,2971,PETŐFI SÁNDOR UTCA,2/B,1
152,16601,16601,14,Balatonszabadi,4,3,6,146,2971,RÁKÓCZI FERENC UTCA,9/A,0
153,16601,16601,14,Balatonszabadi,4,3,6,146,2971,SZABADSÁG UTCA,33/F,1
155,16601,16601,14,Balatonszabadi,4,3,6,146,2971,VAK BOTTYÁN UTCA,1,1
156,2918,2918,9,Balmazújváros,3,2,3,93,17573,BATTHYÁNY UTCA,116,0
157,2918,2918,9,Balmazújváros,3,2,3,93,17573,ESZE TAMÁS UTCA,19,1
158,2918,2918,9,Balmazújváros,3,2,3,93,17573,KASTÉLYKERT UTCA,10,1
159,2918,2918,9,Balmazújváros,3,2,3,93,17573,KISKÚT UTCA,24,1
161,32799,32799,14,Barcs,3,2,3,140,11420,ADY ENDRE UTCA,15,2
162,32799,32799,14,Barcs,3,2,3,140,11420,BARÁTSÁG UTCA,28,0
163,32799,32799,14,Barcs,3,2,3,140,11420,BARÁTSÁG UTCA,48,1
164,32799,32799,14,Barcs,3,2,3,140,11420,BÉKE UTCA,48,0
165,33534,33534,12,Bátonyterenye,3,2,3,117,12841,ATTILA ÚT,14,1
166,33534,33534,12,Bátonyterenye,3,2,3,117,12841,BÁNYÁSZ ÚT,13,0
167,33534,33534,12,Bátonyterenye,3,2,3,117,12841,CSOKONAI ÚT,34,2
168,33534,33534,12,Bátonyterenye,3,2,3,117,12841,JÓKAI ÚT,10,0
169,33534,33534,12,Bátonyterenye,3,2,3,117,12841,VÁRHEGY ÚT,29,2
170,18698,18698,20,Bázakerettye,4,3,8,195,842,BÉKE ÚT,5,2
171,18698,18698,20,Bázakerettye,4,3,8,195,842,BÉKE ÚT,7,0
172,18698,18698,20,Bázakerettye,4,3,8,195,842,DÓZSA GYÖRGY ÚT,23,1
173,18698,18698,20,Bázakerettye,4,3,8,195,842,FŐ ÚT,18,2
174,18698,18698,20,Bázakerettye,4,3,8,195,842,FŐ ÚT,60,1
179,18698,18698,20,Bázakerettye,4,3,8,195,842,OLAJMUNKÁS KÖZ,4,2
180,18698,18698,20,Bázakerettye,4,3,8,195,842,OLAJMUNKÁS KÖZ,9,2
181,18698,18698,20,Bázakerettye,4,3,8,195,842,RÁKÓCZI ÚT,11,2
